iter	Passed	Remaining
0	0	69
1	1	64
2	2	67
3	2	62
4	3	60
5	3	59
6	4	59
7	5	57
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	46
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	21	35
38	22	35
39	23	34
40	23	34
41	23	32
42	24	32
43	25	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	30	26
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	57	24
70	58	23
71	59	23
72	59	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	72	6
92	73	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
